Matchweek,Match_Date,Home_Team,Away_Team,Win,log_ratio_Value,Cup_Home,Cup_Away,Winvalue,Home_Performance,Away_Performance,Home_Diff_Goals,Away_Diff_Goals,Aprob_TMValue_Costant,Dprob_TMValue_Costant,Hprob_TMValue_Costant,TMValue_Costant_pred,ln_TM_Home,ln_TM_Away,log_ratio_ln_TM,Aprob_TMValue_Lineups,Dprob_TMValue_Lineups,Hprob_TMValue_Lineups,TMValue_Lineups_pred,Elo_Home,Elo_Away,ratio_Elo
1,2021-08-21,Internazionale,Genoa,H,1.6275719380662899,0,0,2,0.0,0.0,0,0,0.05036633571519765,0.1224936018607903,0.8271400624240121,H,327644444.4444445,32761111.111111112,2.302686834469046,0.016893429242719252,0.05014956020805236,0.9329570105492283,H,1895.381836,1602.201416,1.1829859948145245
1,2021-08-23,Cagliari,Spezia,D,0.6151856390902335,0,0,1,0.0,0.0,0,0,0.16966957559536494,0.2763639743478965,0.5539664500567385,H,87061111.1111111,33775555.55555555,0.94687296620091,0.10911075969824705,0.22959012342604987,0.6612991168757031,H,1585.944824,1539.675659,1.0300512414608485
1,2021-08-21,Empoli,Lazio,A,-1.1276328174088697,0,0,0,0.0,0.0,0,0,0.6756719200670367,0.21573689694684373,0.10859118298611958,A,45400000.0,164918888.8888889,-1.2899416654954108,0.7577227916436149,0.1712490977619957,0.0710281105943894,A,1541.208984,1729.588623,0.8910841361379607
1,2021-08-22,Napoli,Venezia,H,1.7508370547228733,0,0,2,0.0,0.0,0,0,0.04306697328960603,0.1075569258111614,0.8493761008992325,H,258300000.0,14360000.0,2.8896751364817166,0.007289077086832627,0.022502221113298165,0.9702087017998693,H,1800.702026,1491.852783,1.2070239413160648
1,2021-08-22,Udinese,Juventus,D,-1.702147310538368,0,0,1,0.0,0.0,0,0,0.8174799641688135,0.12889522972659118,0.0536248061045953,A,55518888.88888889,220016666.66666666,-1.376979997868566,0.7801108772419585,0.15674326402198124,0.06314585873606027,A,1588.23291,1846.45874,0.8601507716332724
1,2021-08-21,Hellas Verona,Sassuolo,A,-0.5677837829958381,0,0,0,0.0,0.0,0,0,0.4970190693159611,0.29863285798907474,0.2043480726949642,A,56617777.777777776,100574444.44444445,-0.5745751631214875,0.5259780050193793,0.29672563860055956,0.17729635638006114,A,1582.683838,1694.678223,0.9339140708365614
1,2021-08-23,Sampdoria,Milan,A,-1.5078349834617366,0,0,0,0.0,0.0,0,0,0.7756489349409598,0.15596496265087212,0.06838610240816811,A,63677777.777777776,273655555.5555556,-1.458034574845388,0.799588194628641,0.14386565210528757,0.056546153266071486,A,1640.594971,1798.833252,0.9120328241519521
1,2021-08-21,Torino,Atalanta,A,-0.6135864972359458,0,0,0,0.0,0.0,0,0,0.5122720835314141,0.2931226212028326,0.19460529526575332,A,73277777.77777778,219333333.33333334,-1.0963352478360575,0.7026168756969152,0.20547517102309043,0.09190795327999435,A,1583.567139,1833.829834,0.8635300340522217
1,2021-08-22,Roma,Fiorentina,H,0.5193519934649972,1,0,2,0.0,0.0,0,0,0.18842242979474058,0.28933409571668256,0.5222434744885769,H,239848888.8888889,150294444.44444445,0.4674127624474243,0.19696940187032919,0.3093860773632393,0.4936445207664315,H,1738.524902,1625.907349,1.0692644344521012
1,2021-08-22,Bologna,Salernitana,H,0.9402174381958914,0,0,2,0.0,0.0,0,0,0.11701517896536485,0.22603217348533355,0.6569526475493016,H,75977777.77777778,14674444.444444444,1.6443333921494878,0.042690574944114906,0.11448690485234717,0.842822520203538,H,1590.986816,1482.236938,1.0733687544899115
2,2021-08-29,Genoa,Napoli,A,-1.5422588162395183,0,0,0,-1.0,1.0,-4,2,0.6891089814307853,0.2081578171593932,0.10273320140982156,A,36246666.666666664,274805555.5555556,-2.025716353817448,0.8321249155428134,0.12185348183452538,0.046021602622661195,A,1599.887817,1804.023926,0.8868440124003101
2,2021-08-28,Atalanta,Bologna,D,0.9788132116574604,0,0,1,1.0,1.0,1,1,0.11170942367114486,0.21962918562678,0.6686613907020751,H,214388888.8888889,70950000.0,1.1058162000354024,0.09185148983142279,0.20539025716478965,0.7027582530037876,H,1838.130737,1596.520508,1.1513354997880176
2,2021-08-28,Lazio,Spezia,H,1.3404373909279002,0,0,2,1.0,-0.5,2,0,0.10095502129871538,0.20578658276978917,0.6932583959314955,H,162400000.0,29245555.555555556,1.714334812413413,0.05665897924632617,0.1440916257695783,0.7992493949840955,H,1736.907959,1543.31665,1.12543848924328
2,2021-08-29,Milan,Cagliari,H,1.281791478447737,0,0,2,1.0,-0.5,1,0,0.10827097590716306,0.2153316833917195,0.6763973407011175,H,267855555.55555555,67636666.66666666,1.3762976210942905,0.08732473363105273,0.19845323806836948,0.7142220283005778,H,1805.029419,1584.489502,1.139186732838322
2,2021-08-28,Fiorentina,Torino,H,0.12213846202012206,0,0,2,-1.0,-1.0,-2,-1,0.2829002377271835,0.3256304576438887,0.39146930462892787,H,164977777.7777778,81577777.77777778,0.7042538909692023,0.14048141834108552,0.2655177738113928,0.5940008078475216,H,1620.925659,1581.451904,1.0249604524172744
2,2021-08-28,Juventus,Empoli,A,1.8780007268111205,0,0,0,-0.5,-1.0,0,-2,0.04120702032316816,0.10361480482409166,0.8551781748527402,H,284077777.7777778,49061111.11111111,1.7561813795030374,0.04167361438448421,0.11219799940542308,0.8461283862100927,H,1842.014282,1536.075317,1.1991692475063709
2,2021-08-27,Hellas Verona,Internazionale,A,-1.5534045538934989,0,0,0,-1.0,1.0,-1,4,0.6922812850176148,0.20634625159382325,0.10137246338856198,A,74772222.22222222,399150000.0,-1.6748908307483026,0.752040345417464,0.17487823889009324,0.07308141569244275,A,1576.479248,1898.78833,0.8302553913421198
2,2021-08-29,Salernitana,Roma,A,-1.9469346081025252,0,1,0,-1.0,1.0,-1,2,0.7916827579571498,0.14571810609238323,0.06259913595046696,A,13810000.0,232800000.0,-2.824786748436082,0.9442922691438201,0.04179697476938027,0.013910756086799592,A,1478.888916,1748.765381,0.8456760020914436
2,2021-08-27,Udinese,Venezia,H,0.16175010391211608,0,0,2,-0.5,-1.0,0,-2,0.29722664950204813,0.3277489319326099,0.37502441856534197,H,52782222.222222224,33058888.888888888,0.4678839507776757,0.2193970391495846,0.3209113248175648,0.45969163603285057,H,1593.770142,1489.623779,1.0699145411534143
2,2021-08-29,Sassuolo,Sampdoria,D,0.6882951574554173,0,0,1,1.0,-1.0,1,-1,0.23236943218740155,0.3115869976197354,0.456043570192863,H,101705555.55555555,60911111.11111111,0.5126663219283382,0.2758229838049674,0.3384930333692795,0.3856839828257531,H,1701.975586,1636.584473,1.0399558434525122
3,2021-09-11,Empoli,Venezia,A,-0.014103312360636605,0,0,0,0.0,-2.0,-1,-5,0.4358024837065045,0.31689399002238244,0.24730352627111313,A,50050000.0,30588888.888888888,0.4923856709488874,0.2857575815602606,0.340147486237604,0.37409493220213536,H,1551.638794,1482.800781,1.046424316659434
3,2021-09-12,Torino,Salernitana,H,1.3054441526174059,0,0,2,-2.0,-2.0,-2,-5,0.07546356269418705,0.16788982912998718,0.7566466081758257,H,78744444.44444445,15530000.0,1.6234340913193952,0.044155226731317304,0.11775047896232882,0.8380942943063538,H,1575.60022,1472.954956,1.0696866279460076
3,2021-09-11,Atalanta,Fiorentina,A,0.49144803521582375,0,0,0,0.5,0.0,1,-1,0.2140366907009692,0.30358057330069566,0.48238273599833514,H,198155555.55555555,162327777.7777778,0.19943474567054348,0.30122498203595666,0.3419786892282833,0.35679632873576,H,1831.350464,1626.777344,1.125753607741417
3,2021-09-12,Roma,Sassuolo,H,0.6418794848617433,0,0,2,2.0,0.5,6,1,0.22149833242761777,0.30704680091362313,0.47145486665875913,H,255655555.55555555,129333333.33333333,0.6814380014341039,0.23054029688689762,0.32559820497072867,0.44386149814237374,H,1754.699341,1698.956421,1.0328100940736253
3,2021-09-13,Bologna,Hellas Verona,H,0.20294609795094767,0,0,2,0.5,-2.0,1,-3,0.39531351792054514,0.32504284142143425,0.2796436406580206,A,90044444.44444445,83677777.77777778,0.07332993182716757,0.4521366221062942,0.3232055836894712,0.22465779420423465,A,1603.300781,1574.289551,1.0184281411139213
3,2021-09-12,Sampdoria,Internazionale,D,-1.673915928353078,0,0,1,-1.5,2.0,-1,6,0.6464162042292326,0.2316864208646371,0.12189737490613028,A,58426666.666666664,332911111.1111111,-1.7401031141279608,0.6940093709898136,0.21061517089841186,0.0953754581117745,A,1639.603638,1903.163696,0.8615147721901479
3,2021-09-12,Spezia,Udinese,A,-0.3886579897917832,0,0,0,-1.5,0.5,-5,3,0.3229000150465437,0.3297673479543138,0.34733263699914246,H,33245555.555555556,58162222.222222224,-0.5593149506025837,0.35522387028037566,0.34210551659727734,0.30267061312234705,A,1537.021362,1602.778687,0.9589729227538699
3,2021-09-11,Napoli,Juventus,H,-0.1130603597276106,0,0,2,2.0,-1.5,3,-1,0.5597633610880115,0.27385099260475776,0.16638564630723074,A,311172222.2222222,185822222.2222222,0.515556105962748,0.3611693897307225,0.34159058939797676,0.2972400208713008,A,1808.168091,1826.450806,0.9899900315190859
3,2021-09-12,Milan,Lazio,H,0.5565397266100705,0,0,2,2.0,2.0,4,7,0.18067451650284103,0.28425233946350636,0.5350731440336526,H,323188888.8888889,181866666.66666666,0.5749631297570018,0.1717594683889506,0.29269040811667657,0.5355501234943728,H,1809.42041,1743.203247,1.0379859107731457
