League;Gender;Country;Season;Match_Date;Matchweek;Home_Team;Home_Formation;Home_Score;Home_xG;Home_Goals;Home_Yellow_Cards;Home_Red_Cards;Away_Team;Away_Formation;Away_Score;Away_xG;Away_Goals;Away_Yellow_Cards;Away_Red_Cards;Game_URL;Team;Home_Away;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Press;Tkl;Int;Blocks;xG_Expected;npxG_Expected;xA_Expected;SCA_SCA;GCA_SCA;Cmp_Passes;Att_Passes;Cmp_percent_Passes;Prog_Passes;Carries_Carries;Prog_Carries;Succ_Dribbles;Att_Dribbles;Cmp_Total;Att_Total;Cmp_percent_Total;TotDist_Total;PrgDist_Total;Cmp_Short;Att_Short;Cmp_percent_Short;Cmp_Medium;Att_Medium;Cmp_percent_Medium;Cmp_Long;Att_Long;Cmp_percent_Long;Ast_1;xA;KP;Final_Third;PPA;CrsPA;Prog;Att;Live_Pass_Types;Dead_Pass_Types;FK_Pass_Types;TB_Pass_Types;Press_Pass_Types;Sw_Pass_Types;Crs_Pass_Types;CK_Pass_Types;In_Corner_Kicks;Out_Corner_Kicks;Str_Corner_Kicks;Ground_Height;Low_Height;High_Height;Left_Body_Parts;Right_Body_Parts;Head_Body_Parts;TI_Body_Parts;Other_Body_Parts;Cmp_Outcomes;Off_Outcomes;Out_Outcomes;Int_Outcomes;Blocks_Outcomes;Tkl_Tackles;TklW_Tackles;Def 3rd_Tackles;Mid 3rd_Tackles;Att 3rd_Tackles;Tkl_Vs_Dribbles;Att_Vs_Dribbles;Tkl_percent_Vs_Dribbles;Past_Vs_Dribbles;Press_Pressures;Succ_Pressures;percent_Pressures;Def 3rd_Pressures;Mid 3rd_Pressures;Att 3rd_Pressures;Blocks_Blocks;Sh_Blocks;ShSv_Blocks;Pass_Blocks;Int_2;Tkl+Int;Clr;Err;Touches_Touches;Def Pen_Touches;Def 3rd_Touches;Mid 3rd_Touches;Att 3rd_Touches;Att Pen_Touches;Live_Touches;Succ_Dribbles_3;Att_Dribbles_4;Succ_percent_Dribbles;Player_NumPl_Dribbles;Megs_Dribbles;Carries_Carries_5;TotDist_Carries;PrgDist_Carries;Prog_Carries_6;Final_Third_Carries;CPA_Carries;Mis_Carries;Dis_Carries;Targ_Receiving;Rec_Receiving;Rec_percent_Receiving;Prog_Receiving;CrdY_7;CrdR_8;2CrdY;Fls_9;Fld_10;Off_11;Crs_12;Int_13;TklW_14;PKwon_15;PKcon_16;OG_17;Recov;Won_Aerial_Duels;Lost_Aerial_Duels;Won_percent_Aerial_Duels;Cup;Cup_Home;Cup_Away
Serie A;M;ITA;2021-2022;2021-08-21;1;Internazionale;3-5-1-1;4;1,5;"
		
			Milan _kriniar · 6&rsquor; 
		
			Hakan Çalhano_lu · 14&rsquor; 
		
			Arturo Vidal · 74&rsquor; 
		
			Edin D_eko · 87&rsquor; 
		
	";1;0;Genoa;3-4-1-2;0;1;"
		
	";2;0;https://fbref.com/en/matches/5c162318/Internazionale-Genoa-August-21-2021-Serie-A;Internazionale;Home;990;4;4;0;0;17;8;1;0;728;112;19;10;9;1,5;1,5;1,5;29;8;563;630;89,4;49;488;67;7;12;563;630;89,4;10789;3327;236;259;91,1;242;258;93,8;76;93;81,7;4;1,5;15;52;13;2;49;630;590;40;9;0;49;25;14;8;5;3;0;512;32;86;151;442;7;15;7;563;2;7;13;13;19;12;7;6;6;7;12;58,3;5;112;32;28,6;33;36;43;9;2;0;7;10;29;16;0;728;64;161;415;203;38;689;7;12;58,3;7;0;488;3153;1666;67;21;6;8;14;598;563;94,1;49;1;0;0;18;6;2;14;10;12;0;0;0;65;10;8;55,6;0;0;0
Serie A;M;ITA;2021-2022;2021-08-21;1;Internazionale;3-5-1-1;4;1,5;"
		
			Milan _kriniar · 6&rsquor; 
		
			Hakan Çalhano_lu · 14&rsquor; 
		
			Arturo Vidal · 74&rsquor; 
		
			Edin D_eko · 87&rsquor; 
		
	";1;0;Genoa;3-4-1-2;0;1;"
		
	";2;0;https://fbref.com/en/matches/5c162318/Internazionale-Genoa-August-21-2021-Serie-A;Genoa;Away;990;0;0;0;0;10;4;2;0;548;114;19;13;18;1;1;0,9;20;0;365;430;84,9;28;364;30;5;12;365;430;84,9;6926;2096;148;161;91,9;157;174;90,2;53;81;65,4;0;0,9;9;15;9;0;28;430;383;47;19;3;44;11;6;2;1;1;0;314;52;64;118;286;4;12;6;365;2;7;10;8;19;14;13;4;2;5;12;41,7;7;114;31;27,2;58;38;18;18;4;0;14;13;32;19;0;548;91;251;236;91;19;501;5;12;41,7;5;2;364;2018;895;30;8;0;11;12;407;365;89,7;28;2;0;0;7;18;2;6;13;14;0;0;0;54;8;10;44,4;0;0;0
Serie A;M;ITA;2021-2022;2021-08-21;1;Hellas Verona;03/04/03;2;2,1;"
		
			Miguel Veloso · 45+1&rsquor; 
		
			Mattia Zaccagni (P) · 71&rsquor; 
		
			Mattia Zaccagni · 90&rsquor; 
		
	";3;1;Sassuolo;4-2-3-1;3;1,4;"
		
			 Giacomo Raspadori · 32&rsquor;
		
			 Filip _uri_i_ · 51&rsquor;
		
			 Hamed Junior Traorè · 77&rsquor;
		
	";2;0;https://fbref.com/en/matches/81074285/Hellas-Verona-Sassuolo-August-21-2021-Serie-A;Hellas Verona;Home;944;2;1;1;1;14;3;3;1;445;95;15;11;12;2,1;1,4;1,3;24;4;282;361;78,1;29;301;38;5;7;282;361;78,1;5780;2346;120;132;90,9;98;120;81,7;54;83;65,1;1;1,3;10;25;9;3;29;361;319;42;11;0;48;14;18;7;3;1;1;221;41;99;118;197;20;14;4;282;0;7;11;15;15;9;5;5;5;4;12;33,3;8;95;26;27,4;32;38;25;12;4;0;8;11;26;6;0;445;49;118;191;162;33;403;5;7;71,4;6;1;301;1523;794;38;10;9;8;9;330;282;85,5;29;3;1;1;10;15;0;18;11;9;1;0;0;62;12;6;66,7;0;0;0
Serie A;M;ITA;2021-2022;2021-08-21;1;Hellas Verona;03/04/03;2;2,1;"
		
			Miguel Veloso · 45+1&rsquor; 
		
			Mattia Zaccagni (P) · 71&rsquor; 
		
			Mattia Zaccagni · 90&rsquor; 
		
	";3;1;Sassuolo;4-2-3-1;3;1,4;"
		
			 Giacomo Raspadori · 32&rsquor;
		
			 Filip _uri_i_ · 51&rsquor;
		
			 Hamed Junior Traorè · 77&rsquor;
		
	";2;0;https://fbref.com/en/matches/81074285/Hellas-Verona-Sassuolo-August-21-2021-Serie-A;Sassuolo;Away;990;3;3;0;0;18;7;2;0;645;100;10;11;19;1,4;1,4;1,1;32;6;481;540;89,1;31;458;40;8;12;481;540;89,1;8299;2865;238;253;94,1;167;182;91,8;58;79;73,4;3;1,1;13;30;5;0;31;540;505;35;10;1;12;9;2;4;0;2;0;436;41;63;149;364;11;6;7;481;1;3;10;8;10;5;5;3;2;1;7;14,3;6;100;22;22;42;40;18;19;4;0;15;11;21;15;0;645;85;254;339;97;17;611;8;12;66,7;8;1;458;2444;1346;40;10;4;12;11;527;481;91,3;31;2;0;0;15;11;1;2;11;5;0;1;0;66;6;12;33,3;0;0;0
Serie A;M;ITA;2021-2022;2021-08-21;1;Empoli;4-4-2_;1;1,3;"
		
			Filippo Bandinelli · 4&rsquor; 
		
	";2;0;Lazio;04/03/03;3;1,3;"
		
			 Sergej Milinkovi_-Savi_ · 6&rsquor;
		
			 Manuel Lazzari · 31&rsquor;
		
			 Ciro Immobile (P) · 41&rsquor;
		
	";1;0;https://fbref.com/en/matches/e057a19f/Empoli-Lazio-August-21-2021-Serie-A;Empoli;Home;990;1;1;0;0;17;4;2;0;597;147;16;20;4;1,4;1,4;1,1;25;2;410;496;82,7;40;397;41;8;20;410;496;82,7;8124;2236;145;164;88,4;199;229;86,9;61;91;67;1;1,1;13;31;16;3;40;496;446;50;9;1;69;12;17;5;0;2;0;369;71;56;111;342;6;28;4;410;1;7;14;10;16;11;7;7;2;4;12;33,3;8;147;40;27,2;39;68;40;4;1;0;3;20;36;11;0;597;62;179;240;225;30;551;8;20;40;8;0;397;2248;1200;41;19;4;7;14;470;410;87,2;40;2;0;0;15;8;2;17;20;11;0;1;0;77;6;8;42,9;0;0;0
Serie A;M;ITA;2021-2022;2021-08-21;1;Empoli;4-4-2_;1;1,3;"
		
			Filippo Bandinelli · 4&rsquor; 
		
	";2;0;Lazio;04/03/03;3;1,3;"
		
			 Sergej Milinkovi_-Savi_ · 6&rsquor;
		
			 Manuel Lazzari · 31&rsquor;
		
			 Ciro Immobile (P) · 41&rsquor;
		
	";1;0;https://fbref.com/en/matches/e057a19f/Empoli-Lazio-August-21-2021-Serie-A;Lazio;Away;990;3;2;1;1;7;3;1;0;708;154;26;16;16;1,3;0,5;0,5;15;5;517;589;87,8;35;529;49;8;12;517;589;87,8;9306;3139;271;295;91,9;170;197;86,3;66;80;82,5;2;0,5;6;30;10;2;35;589;546;43;14;2;62;23;14;3;0;1;0;454;65;70;134;413;14;15;8;517;0;11;18;3;26;15;17;5;4;12;20;60;8;154;33;21,4;65;55;34;16;6;1;10;16;42;23;0;708;72;243;321;187;32;666;8;12;66,7;8;0;529;2613;1316;49;12;9;10;12;562;517;92;35;1;0;0;10;15;0;14;16;15;1;0;0;54;8;6;57,1;0;0;0
Serie A;M;ITA;2021-2022;2021-08-21;1;Torino;03/04/03;1;1,3;"
		
			Andrea Belotti · 79&rsquor; 
		
	";2;0;Atalanta;03/04/03;2;1;"
		
			 Luis Muriel · 6&rsquor;
		
			 Roberto Piccoli · 90+3&rsquor;
		
	";2;0;https://fbref.com/en/matches/0465e44e/Torino-Atalanta-August-21-2021-Serie-A;Torino;Home;990;1;0;0;0;21;7;2;0;562;161;19;13;18;1,3;1,3;1,1;31;2;304;413;73,6;32;309;34;12;17;304;413;73,6;5897;2192;121;141;85,8;138;164;84,1;35;87;40,2;0;1,1;14;27;7;3;32;413;374;39;12;1;83;7;16;5;0;1;0;235;60;118;104;250;14;18;10;304;0;15;1;11;19;12;9;9;1;5;10;50;5;161;55;34,2;35;87;39;18;5;0;13;13;32;26;0;562;52;162;265;165;27;523;12;17;70,6;12;0;309;1520;801;34;12;8;20;15;375;304;81,1;32;2;0;0;17;14;0;16;13;12;0;0;0;127;24;40;37,5;0;0;0
Serie A;M;ITA;2021-2022;2021-08-21;1;Torino;03/04/03;1;1,3;"
		
			Andrea Belotti · 79&rsquor; 
		
	";2;0;Atalanta;03/04/03;2;1;"
		
			 Luis Muriel · 6&rsquor;
		
			 Roberto Piccoli · 90+3&rsquor;
		
	";2;0;https://fbref.com/en/matches/0465e44e/Torino-Atalanta-August-21-2021-Serie-A;Atalanta;Away;990;2;1;0;0;7;2;2;0;587;155;20;3;20;1;1;0,8;9;3;328;462;71;20;298;16;5;10;328;462;71;6372;2348;139;176;79;138;176;78,4;46;92;50;1;0,8;5;13;7;1;20;462;405;57;17;0;90;8;3;1;0;1;0;269;77;116;176;196;19;28;10;328;0;6;12;13;20;7;9;11;0;5;17;29,4;12;155;50;32,3;61;80;14;20;9;0;11;3;23;24;0;587;79;244;268;101;18;531;5;10;50;5;0;298;1234;519;16;8;3;13;14;403;328;81,4;20;2;0;0;14;17;0;3;3;7;0;0;0;118;40;24;62,5;0;0;0
Serie A;M;ITA;2021-2022;2021-08-22;1;Udinese;3-5-1-1;2;2,2;"
		
			Roberto Pereyra (P) · 51&rsquor; 
		
			Gerard Deulofeu · 83&rsquor; 
		
	";1;0;Juventus;04/04/02;2;0,8;"
		
			 Paulo Dybala · 3&rsquor;
		
			 Juan Cuadrado · 23&rsquor;
		
	";3;0;https://fbref.com/en/matches/3d5b1245/Udinese-Juventus-August-22-2021-Serie-A;Udinese;Home;990;2;1;1;1;11;5;1;0;530;77;17;8;13;2,2;1,5;0,5;18;2;363;433;83,8;20;347;64;4;6;363;433;83,8;6717;1872;167;186;89,8;135;159;84,9;54;77;70,1;1;0,5;8;18;4;1;20;433;386;47;16;0;22;13;13;3;2;0;0;322;51;60;122;273;13;19;2;363;2;3;13;7;17;10;7;5;5;2;6;33,3;4;77;28;36,4;19;35;23;13;0;0;13;8;25;15;2;530;39;125;289;162;16;484;4;6;66,7;4;0;347;2163;1214;64;26;0;7;11;406;363;89,4;20;1;0;0;14;16;2;13;8;10;1;0;0;52;11;7;61,1;0;0;0
Serie A;M;ITA;2021-2022;2021-08-22;1;Udinese;3-5-1-1;2;2,2;"
		
			Roberto Pereyra (P) · 51&rsquor; 
		
			Gerard Deulofeu · 83&rsquor; 
		
	";1;0;Juventus;04/04/02;2;0,8;"
		
			 Paulo Dybala · 3&rsquor;
		
			 Juan Cuadrado · 23&rsquor;
		
	";3;0;https://fbref.com/en/matches/3d5b1245/Udinese-Juventus-August-22-2021-Serie-A;Juventus;Away;990;2;2;0;0;10;3;3;0;647;55;13;13;9;0,8;0,8;0,7;16;4;480;551;87,1;29;445;31;3;6;480;551;87,1;9916;2769;169;192;88;229;238;96,2;77;105;73,3;2;0,7;8;26;4;1;29;551;503;48;15;0;29;16;7;3;1;1;0;424;66;61;200;306;10;22;8;480;2;5;8;13;13;9;7;4;2;2;6;33,3;4;55;13;23,6;24;19;12;9;2;0;7;13;26;19;2;647;69;262;320;99;20;602;3;6;50;4;0;445;1825;963;31;11;4;13;15;533;480;90,1;29;3;0;0;16;13;3;7;13;9;0;1;0;57;7;11;38,9;0;0;0
