Date;Home_Team;Away_Team;Home_Goals;Away_Goals;Win_Home_Bet;Draw_Bet;Win_Away_Bet
21/08/21;Internazionale;Genoa;4;0;1.33;5.25;9
21/08/21;Hellas Verona;Sassuolo;2;3;2.62;3.3;2.62
21/08/21;Torino;Atalanta;1;2;5.5;4.33;1.55
21/08/21;Empoli;Lazio;1;3;4.6;4;1.7
22/08/21;Napoli;Venezia;2;0;1.22;6.5;12
22/08/21;Udinese;Juventus;2;2;7.5;4.33;1.45
22/08/21;Bologna;Salernitana;3;2;1.65;4;5
22/08/21;Roma;Fiorentina;3;1;1.72;3.8;4.75
23/08/21;Sampdoria;Milan;0;1;4;3.6;1.9
23/08/21;Cagliari;Spezia;2;2;1.95;3.4;4
27/08/21;Hellas Verona;Internazionale;1;3;5.5;4.33;1.55
27/08/21;Udinese;Venezia;3;0;1.7;3.75;5
28/08/21;Juventus;Empoli;0;1;1.22;6.5;12
28/08/21;Lazio;Spezia;6;1;1.33;4.75;9.5
28/08/21;Fiorentina;Torino;2;1;2.2;3.4;3.25
28/08/21;Atalanta;Bologna;0;0;1.33;5.5;8
29/08/21;Genoa;Napoli;1;2;6;4.5;1.5
29/08/21;Milan;Cagliari;4;1;1.44;4.5;7
29/08/21;Sassuolo;Sampdoria;0;0;2;3.6;3.6
29/08/21;Salernitana;Roma;0;4;5.5;4.33;1.55
11/09/21;Atalanta;Fiorentina;1;2;1.55;4.33;5.5
11/09/21;Empoli;Venezia;1;2;1.8;3.8;4.2
11/09/21;Napoli;Juventus;2;1;2.4;3.6;2.8
12/09/21;Torino;Salernitana;4;0;1.57;4.2;5.75
12/09/21;Spezia;Udinese;0;1;3.2;3.4;2.3
12/09/21;Milan;Lazio;2;0;2.2;3.6;3.1
12/09/21;Sampdoria;Internazionale;2;2;5;4;1.61
12/09/21;Cagliari;Genoa;2;3;2;3.5;3.75
12/09/21;Roma;Sassuolo;2;1;1.57;4.75;5
13/09/21;Bologna;Hellas Verona;1;0;2.1;3.7;3.2
17/09/21;Sassuolo;Torino;0;1;1.72;4;4.33
18/09/21;Internazionale;Bologna;6;1;1.36;5;8.5
18/09/21;Genoa;Fiorentina;1;2;3.3;3.3;2.25
18/09/21;Salernitana;Atalanta;0;1;10;5.5;1.3
19/09/21;Empoli;Sampdoria;0;3;2.55;3.6;2.6
19/09/21;Lazio;Cagliari;2;2;1.44;4.75;7
19/09/21;Juventus;Milan;1;1;2.1;3.4;3.5
19/09/21;Venezia;Spezia;1;2;2.45;3.4;2.9
19/09/21;Hellas Verona;Roma;3;2;4;3.8;1.83
20/09/21;Udinese;Napoli;0;4;4.5;3.6;1.83
21/09/21;Bologna;Genoa;2;2;1.95;3.5;3.75
21/09/21;Fiorentina;Internazionale;1;3;3.75;3.6;1.9
21/09/21;Atalanta;Sassuolo;2;1;1.5;4.46;6.13
22/09/21;Salernitana;Hellas Verona;2;2;3.5;3.4;2.05
22/09/21;Spezia;Juventus;2;3;8;5.5;1.33
22/09/21;Cagliari;Empoli;0;2;2;3.75;3.4
22/09/21;Milan;Venezia;2;0;1.25;6;12
23/09/21;Sampdoria;Napoli;0;4;4.2;3.6;1.83
23/09/21;Torino;Lazio;1;1;3.25;3.5;2.15
23/09/21;Roma;Udinese;1;0;1.55;4.2;5.5
25/09/21;Spezia;Milan;1;2;7;4.5;1.45
25/09/21;Internazionale;Atalanta;2;2;1.9;3.75;3.8
25/09/21;Genoa;Hellas Verona;3;3;2.75;3.25;2.62
26/09/21;Sassuolo;Salernitana;1;0;1.4;5;7.5
26/09/21;Lazio;Roma;3;2;2.62;3.5;2.6
26/09/21;Empoli;Bologna;4;2;2.6;3.75;2.5
26/09/21;Napoli;Cagliari;2;0;1.25;6;11
26/09/21;Juventus;Sampdoria;3;2;1.3;5.75;9
26/09/21;Udinese;Fiorentina;0;1;3.1;3.4;2.3
27/09/21;Venezia;Torino;1;1;3.6;3.5;2.05
01/10/21;Cagliari;Venezia;1;1;1.85;3.5;4.33
02/10/21;Sassuolo;Internazionale;1;2;4.33;4.2;1.7
02/10/21;Torino;Juventus;0;1;4.5;3.5;1.8
02/10/21;Salernitana;Genoa;1;0;2.87;3.3;2.45
03/10/21;Bologna;Lazio;3;0;3.1;3.6;2.2
03/10/21;Fiorentina;Napoli;1;2;3.9;3.5;1.95
03/10/21;Roma;Empoli;2;0;1.4;5;7
03/10/21;Sampdoria;Udinese;3;3;2.1;3.5;3.5
03/10/21;Hellas Verona;Spezia;4;0;1.65;4;5.25
03/10/21;Atalanta;Milan;2;3;2.05;3.75;3.4
16/10/21;Spezia;Salernitana;2;1;2.1;3.4;3.5
16/10/21;Milan;Hellas Verona;3;2;1.55;4.2;5.75
16/10/21;Lazio;Internazionale;3;1;3.3;3.5;2.15
17/10/21;Juventus;Roma;1;0;1.85;3.8;4
17/10/21;Udinese;Bologna;1;1;2.25;3.4;3.2
17/10/21;Cagliari;Sampdoria;3;1;2.55;3.4;2.75
17/10/21;Genoa;Sassuolo;2;2;3.1;3.5;2.25
17/10/21;Empoli;Atalanta;1;4;5.75;4.33;1.55
17/10/21;Napoli;Torino;1;0;1.4;4.5;8.5
18/10/21;Venezia;Fiorentina;1;0;4.2;3.75;1.83
22/10/21;Sampdoria;Spezia;2;1;1.8;3.8;4.2
22/10/21;Torino;Genoa;3;2;1.7;3.7;5
23/10/21;Bologna;Milan;2;4;3.35;3.6;2.1
23/10/21;Salernitana;Empoli;2;4;2.7;3.4;2.62
23/10/21;Sassuolo;Venezia;3;1;1.57;4.2;5.5
24/10/21;Roma;Napoli;0;0;2.87;3.5;2.4
24/10/21;Fiorentina;Cagliari;3;0;1.65;4;5.25
24/10/21;Hellas Verona;Lazio;4;1;3.1;3.6;2.2
24/10/21;Internazionale;Juventus;1;1;2.05;3.6;3.4
24/10/21;Atalanta;Udinese;1;1;1.4;5;7.5
26/10/21;Milan;Torino;1;0;1.6;4;5.5
