Team;Elo;Date
Sassuolo;1693,892212;2021-08-13
Juventus;1845,672729;2021-08-15
Napoli;1799,916016;2021-08-15
Roma;1735,528076;2021-08-15
Sampdoria;1639,809082;2021-08-15
Juventus;1845,672729;2021-08-16
Internazionale;1894,595825;2021-08-16
Atalanta;1833,043823;2021-08-16
Lazio;1728,802734;2021-08-16
Sampdoria;1639,809082;2021-08-16
Sassuolo;1693,892212;2021-08-19
Fiorentina;1625,121338;2021-08-19
Milan;1798,833252;2021-08-20
Juventus;1846,45874;2021-08-20
Internazionale;1895,381836;2021-08-20
Atalanta;1833,829834;2021-08-20
Napoli;1800,702026;2021-08-20
Roma;1738,524902;2021-08-20
Lazio;1729,588623;2021-08-20
Sassuolo;1694,678223;2021-08-20
Fiorentina;1625,907349;2021-08-20
Hellas Verona;1582,683838;2021-08-20
Udinese;1588,23291;2021-08-20
Torino;1583,567139;2021-08-20
Sampdoria;1640,594971;2021-08-20
Bologna;1590,986816;2021-08-20
Cagliari;1585,944824;2021-08-20
Empoli;1541,208984;2021-08-20
Genoa;1602,201416;2021-08-20
Spezia;1539,675659;2021-08-20
Venezia;1491,852783;2021-08-20
Salernitana;1482,236938;2021-08-20
Juventus;1846,45874;2021-08-22
Internazionale;1898,78833;2021-08-22
Atalanta;1837,037842;2021-08-22
Roma;1738,524902;2021-08-22
Lazio;1735,815186;2021-08-22
Sassuolo;1700,882813;2021-08-22
Fiorentina;1625,907349;2021-08-22
Hellas Verona;1576,479248;2021-08-22
Torino;1580,359009;2021-08-22
Empoli;1534,982422;2021-08-22
Genoa;1598,795044;2021-08-22
Juventus;1840,921509;2021-08-23
Internazionale;1898,78833;2021-08-23
Napoli;1802,931152;2021-08-23
Roma;1744,599365;2021-08-23
Sassuolo;1700,882813;2021-08-23
Fiorentina;1619,832764;2021-08-23
Udinese;1593,770142;2021-08-23
Bologna;1595,427612;2021-08-23
Genoa;1598,795044;2021-08-23
Venezia;1489,623779;2021-08-23
Salernitana;1477,796021;2021-08-23
Milan;1803,936646;2021-08-24
Napoli;1802,931152;2021-08-24
Udinese;1593,770142;2021-08-24
Sampdoria;1635,491699;2021-08-24
Bologna;1595,427612;2021-08-24
Cagliari;1583,396729;2021-08-24
Spezia;1542,223755;2021-08-24
Sampdoria;1635,491699;2021-08-25
Sampdoria;1635,491699;2021-08-26
Milan;1805,029419;2021-08-27
Juventus;1842,014282;2021-08-27
Internazionale;1899,881104;2021-08-27
Atalanta;1838,130737;2021-08-27
Napoli;1804,023926;2021-08-27
Roma;1748,765381;2021-08-27
Lazio;1736,907959;2021-08-27
Sassuolo;1701,975586;2021-08-27
Fiorentina;1620,925659;2021-08-27
Hellas Verona;1577,572144;2021-08-27
Udinese;1594,863037;2021-08-27
Torino;1581,451904;2021-08-27
Sampdoria;1636,584473;2021-08-27
Bologna;1596,520508;2021-08-27
Cagliari;1584,489502;2021-08-27
Empoli;1536,075317;2021-08-27
Genoa;1599,887817;2021-08-27
Spezia;1543,31665;2021-08-27
Venezia;1490,716553;2021-08-27
Salernitana;1478,888916;2021-08-27
Internazionale;1903,163696;2021-08-28
Atalanta;1838,130737;2021-08-28
Fiorentina;1620,925659;2021-08-28
Hellas Verona;1574,289551;2021-08-28
Udinese;1602,778687;2021-08-28
Bologna;1596,520508;2021-08-28
Genoa;1599,887817;2021-08-28
Venezia;1482,800781;2021-08-28
Juventus;1826,450806;2021-08-29
Atalanta;1831,350464;2021-08-29
Roma;1748,765381;2021-08-29
Lazio;1743,203247;2021-08-29
Sassuolo;1701,975586;2021-08-29
Fiorentina;1626,777344;2021-08-29
Udinese;1602,778687;2021-08-29
Torino;1575,60022;2021-08-29
Sampdoria;1636,584473;2021-08-29
Bologna;1603,300781;2021-08-29
Empoli;1551,638794;2021-08-29
Spezia;1537,021362;2021-08-29
Milan;1809,42041;2021-08-30
Napoli;1808,168091;2021-08-30
Roma;1754,699341;2021-08-30
Sassuolo;1698,956421;2021-08-30
Fiorentina;1626,777344;2021-08-30
Udinese;1602,778687;2021-08-30
Sampdoria;1639,603638;2021-08-30
Bologna;1603,300781;2021-08-30
Cagliari;1580,098633;2021-08-30
Genoa;1595,743652;2021-08-30
Salernitana;1472,954956;2021-08-30
Udinese;1602,778687;2021-09-06
Bologna;1603,300781;2021-09-06
Udinese;1602,778687;2021-09-07
Bologna;1603,300781;2021-09-07
Milan;1809,42041;2021-09-12
Juventus;1819,218262;2021-09-12
Atalanta;1817,556641;2021-09-12
Napoli;1815,400757;2021-09-12
Sassuolo;1698,956421;2021-09-12
Fiorentina;1640,571167;2021-09-12
Udinese;1602,778687;2021-09-12
Sampdoria;1639,603638;2021-09-12
Empoli;1540,648804;2021-09-12
Venezia;1493,790771;2021-09-12
Milan;1816,883667;2021-09-13
Internazionale;1897,513184;2021-09-13
Napoli;1815,400757;2021-09-13
Roma;1760,124023;2021-09-13
Lazio;1735,73999;2021-09-13
Sassuolo;1693,531738;2021-09-13
Fiorentina;1640,571167;2021-09-13
Udinese;1610,176392;2021-09-13
Torino;1584,725708;2021-09-13
Sampdoria;1645,25415;2021-09-13
Bologna;1603,300781;2021-09-13
Cagliari;1571,355347;2021-09-13
Genoa;1604,486938;2021-09-13
Spezia;1529,623657;2021-09-13
Salernitana;1463,829468;2021-09-13
Sassuolo;1693,531738;2021-09-14
Hellas Verona;1568,1073;2021-09-14
Sampdoria;1645,25415;2021-09-14
Bologna;1609,483032;2021-09-14
Genoa;1604,486938;2021-09-14
Milan;1820,181763;2021-09-15
Juventus;1829,60144;2021-09-15
Internazionale;1900,811279;2021-09-15
Atalanta;1823,015259;2021-09-15
Napoli;1818,69873;2021-09-15
Roma;1763,422119;2021-09-15
Lazio;1739,038086;2021-09-15
Sassuolo;1696,829834;2021-09-15
Fiorentina;1643,869263;2021-09-15
Hellas Verona;1571,405396;2021-09-15
Udinese;1613,474487;2021-09-15
Torino;1588,023804;2021-09-15
Sampdoria;1648,552246;2021-09-15
Bologna;1612,781128;2021-09-15
Cagliari;1574,653442;2021-09-15
Empoli;1543,946899;2021-09-15
Genoa;1607,785034;2021-09-15
Spezia;1532,921753;2021-09-15
Venezia;1497,088867;2021-09-15
Salernitana;1467,127563;2021-09-15
Milan;1812,300049;2021-09-16
Juventus;1825,147827;2021-09-16
Internazionale;1887,228027;2021-09-16
Atalanta;1818,561646;2021-09-16
Napoli;1814,245239;2021-09-16
Roma;1758,968506;2021-09-16
Lazio;1734,584473;2021-09-16
Sassuolo;1692,376221;2021-09-16
Fiorentina;1639,415649;2021-09-16
Hellas Verona;1566,951782;2021-09-16
Udinese;1609,020996;2021-09-16
Torino;1583,57019;2021-09-16
Sampdoria;1644,098633;2021-09-16
Bologna;1608,327515;2021-09-16
Cagliari;1570,199829;2021-09-16
Empoli;1539,493408;2021-09-16
Genoa;1603,331421;2021-09-16
Spezia;1528,46814;2021-09-16
Venezia;1492,635254;2021-09-16
Salernitana;1462,67395;2021-09-16
Milan;1810,55835;2021-09-17
Juventus;1823,406128;2021-09-17
Internazionale;1885,486328;2021-09-17
Atalanta;1816,819946;2021-09-17
Napoli;1814,042236;2021-09-17
Roma;1761,04834;2021-09-17
Lazio;1722,52771;2021-09-17
Sassuolo;1690,634521;2021-09-17
Fiorentina;1637,67395;2021-09-17
Hellas Verona;1565,210083;2021-09-17
Udinese;1607,279175;2021-09-17
Torino;1581,828491;2021-09-17
Sampdoria;1642,356934;2021-09-17
Bologna;1606,585815;2021-09-17
Cagliari;1568,45813;2021-09-17
Empoli;1537,751587;2021-09-17
Genoa;1601,589722;2021-09-17
Spezia;1526,72644;2021-09-17
Venezia;1490,893555;2021-09-17
Salernitana;1460,932251;2021-09-17
Roma;1761,04834;2021-09-18
Sassuolo;1678,968262;2021-09-18
Torino;1593,494629;2021-09-18
Genoa;1601,589722;2021-09-18
Internazionale;1889,587036;2021-09-19
Atalanta;1818,654297;2021-09-19
Lazio;1722,52771;2021-09-19
Sassuolo;1678,968262;2021-09-19
Fiorentina;1645,885742;2021-09-19
Udinese;1607,279175;2021-09-19
Bologna;1602,485107;2021-09-19
Genoa;1593,37793;2021-09-19
Salernitana;1459,0979;2021-09-19
Milan;1812,065918;2021-09-20
Juventus;1821,89856;2021-09-20
Internazionale;1889,587036;2021-09-20
Atalanta;1818,654297;2021-09-20
Roma;1749,073853;2021-09-20
Lazio;1717,459961;2021-09-20
Fiorentina;1645,885742;2021-09-20
Hellas Verona;1577,18457;2021-09-20
Udinese;1607,279175;2021-09-20
Sampdoria;1653,315308;2021-09-20
Cagliari;1573,525879;2021-09-20
Empoli;1526,793213;2021-09-20
Spezia;1534,901245;2021-09-20
Venezia;1482,71875;2021-09-20
Juventus;1821,89856;2021-09-21
Internazionale;1889,587036;2021-09-21
Atalanta;1818,654297;2021-09-21
Napoli;1822,13562;2021-09-21
Udinese;1599,185791;2021-09-21
Sampdoria;1653,315308;2021-09-21
Bologna;1602,485107;2021-09-21
Juventus;1821,89856;2021-09-22
Internazionale;1894,31311;2021-09-22
Atalanta;1822,397217;2021-09-22
Napoli;1822,13562;2021-09-22
Lazio;1717,459961;2021-09-22
Sassuolo;1675,225464;2021-09-22
Fiorentina;1641,159546;2021-09-22
Sampdoria;1653,315308;2021-09-22
Bologna;1601,150635;2021-09-22
Genoa;1594,712402;2021-09-22
Milan;1814,098999;2021-09-23
Juventus;1824,569702;2021-09-23
Internazionale;1894,31311;2021-09-23
Atalanta;1822,397217;2021-09-23
Napoli;1822,13562;2021-09-23
Lazio;1717,459961;2021-09-23
Sassuolo;1675,225464;2021-09-23
Fiorentina;1641,159546;2021-09-23
Hellas Verona;1574,921143;2021-09-23
Udinese;1599,185791;2021-09-23
Bologna;1601,150635;2021-09-23
Cagliari;1559,060791;2021-09-23
Empoli;1541,258423;2021-09-23
Spezia;1532,230103;2021-09-23
Venezia;1480,685791;2021-09-23
Salernitana;1461,361328;2021-09-23
Juventus;1824,569702;2021-09-24
Atalanta;1822,397217;2021-09-24
Napoli;1831,558594;2021-09-24
Roma;1752,749023;2021-09-24
Lazio;1715,001099;2021-09-24
Sassuolo;1675,225464;2021-09-24
Udinese;1595,51062;2021-09-24
Torino;1595,953613;2021-09-24
Sampdoria;1643,892334;2021-09-24
Milan;1816,804932;2021-09-26
Juventus;1824,569702;2021-09-26
Internazionale;1891,290161;2021-09-26
Atalanta;1825,420166;2021-09-26
Roma;1752,749023;2021-09-26
Lazio;1715,001099;2021-09-26
Sassuolo;1675,225464;2021-09-26
Hellas Verona;1576,527344;2021-09-26
Sampdoria;1643,892334;2021-09-26
Bologna;1601,150635;2021-09-26
Genoa;1593,106323;2021-09-26
Spezia;1529,52417;2021-09-26
Juventus;1827,762207;2021-09-27
Atalanta;1825,420166;2021-09-27
Napoli;1834,321899;2021-09-27
Roma;1744,825928;2021-09-27
Lazio;1722,924194;2021-09-27
Sassuolo;1677,904663;2021-09-27
Fiorentina;1648,964355;2021-09-27
Udinese;1587,705811;2021-09-27
Torino;1595,953613;2021-09-27
Sampdoria;1640,699829;2021-09-27
Bologna;1589,207397;2021-09-27
Cagliari;1556,297485;2021-09-27
Empoli;1553,201538;2021-09-27
Salernitana;1458,682129;2021-09-27
Torino;1593,757935;2021-09-28
Venezia;1482,881348;2021-09-28
Milan;1803,684082;2021-09-29
Juventus;1823,311768;2021-09-29
Internazionale;1882,846558;2021-09-29
Atalanta;1820,969727;2021-09-29
Napoli;1829,87146;2021-09-29
Roma;1740,375366;2021-09-29
Lazio;1718,473755;2021-09-29
Sassuolo;1673,454102;2021-09-29
Fiorentina;1644,513794;2021-09-29
Hellas Verona;1572,076782;2021-09-29
Udinese;1583,255371;2021-09-29
Torino;1589,307495;2021-09-29
Sampdoria;1636,249268;2021-09-29
Bologna;1584,756836;2021-09-29
Cagliari;1551,846924;2021-09-29
