Matchweek,Match_Date,Home_Team,Away_Team,Win,log_ratio_Value,Cup_Home,Cup_Away,Winvalue,Home_Performance,Away_Performance,Home_Diff_Goals,Away_Diff_Goals
1,2021-08-21,Internazionale,Genoa,H,1.6275719380662899,0,0,2,0.0,0.0,0,0
1,2021-08-23,Cagliari,Spezia,D,0.6151856390902335,0,0,1,0.0,0.0,0,0
1,2021-08-21,Empoli,Lazio,A,-1.1276328174088697,0,0,0,0.0,0.0,0,0
1,2021-08-22,Napoli,Venezia,H,1.7508370547228733,0,0,2,0.0,0.0,0,0
1,2021-08-22,Udinese,Juventus,D,-1.702147310538368,0,0,1,0.0,0.0,0,0
1,2021-08-21,Hellas Verona,Sassuolo,A,-0.5677837829958381,0,0,0,0.0,0.0,0,0
1,2021-08-23,Sampdoria,Milan,A,-1.5078349834617366,0,0,0,0.0,0.0,0,0
1,2021-08-21,Torino,Atalanta,A,-0.6135864972359458,0,0,0,0.0,0.0,0,0
1,2021-08-22,Roma,Fiorentina,H,0.5193519934649972,1,0,2,0.0,0.0,0,0
1,2021-08-22,Bologna,Salernitana,H,0.9402174381958914,0,0,2,0.0,0.0,0,0
2,2021-08-29,Genoa,Napoli,A,-1.5422588162395183,0,0,0,-1.0,1.0,-4,2
2,2021-08-28,Atalanta,Bologna,D,0.9788132116574604,0,0,1,1.0,1.0,1,1
2,2021-08-28,Lazio,Spezia,H,1.3404373909279002,0,0,2,1.0,-0.5,2,0
2,2021-08-29,Milan,Cagliari,H,1.281791478447737,0,0,2,1.0,-0.5,1,0
2,2021-08-28,Fiorentina,Torino,H,0.12213846202012206,0,0,2,-1.0,-1.0,-2,-1
2,2021-08-28,Juventus,Empoli,A,1.8780007268111205,0,0,0,-0.5,-1.0,0,-2
2,2021-08-27,Hellas Verona,Internazionale,A,-1.5534045538934989,0,0,0,-1.0,1.0,-1,4
2,2021-08-29,Salernitana,Roma,A,-1.9469346081025252,0,1,0,-1.0,1.0,-1,2
2,2021-08-27,Udinese,Venezia,H,0.16175010391211608,0,0,2,-0.5,-1.0,0,-2
2,2021-08-29,Sassuolo,Sampdoria,D,0.6882951574554173,0,0,1,1.0,-1.0,1,-1
3,2021-09-11,Empoli,Venezia,A,-0.014103312360636605,0,0,0,0.0,-2.0,-1,-5
3,2021-09-12,Torino,Salernitana,H,1.3054441526174059,0,0,2,-2.0,-2.0,-2,-5
3,2021-09-11,Atalanta,Fiorentina,A,0.49144803521582375,0,0,0,0.5,0.0,1,-1
3,2021-09-12,Roma,Sassuolo,H,0.6418794848617433,0,0,2,2.0,0.5,6,1
3,2021-09-13,Bologna,Hellas Verona,H,0.20294609795094767,0,0,2,0.5,-2.0,1,-3
3,2021-09-12,Sampdoria,Internazionale,D,-1.673915928353078,0,0,1,-1.5,2.0,-1,6
3,2021-09-12,Spezia,Udinese,A,-0.3886579897917832,0,0,0,-1.5,0.5,-5,3
3,2021-09-11,Napoli,Juventus,H,-0.1130603597276106,0,0,2,2.0,-1.5,3,-1
3,2021-09-12,Milan,Lazio,H,0.5565397266100705,0,0,2,2.0,2.0,4,7
3,2021-09-12,Cagliari,Genoa,A,0.17969951472721124,0,0,0,-1.5,-2.0,-3,-5
4,2021-09-19,Lazio,Cagliari,D,0.7252517518376667,1,0,1,1.0,-2.0,5,-4
4,2021-09-19,Empoli,Sampdoria,A,-0.17633756055720343,0,0,0,-1.0,-2.0,-2,-1
4,2021-09-19,Hellas Verona,Roma,H,-1.2096632678575814,0,1,2,-2.0,2.0,-4,7
4,2021-09-18,Salernitana,Atalanta,A,-1.9190306498533518,0,1,0,-2.0,-0.5,-9,0
4,2021-09-20,Udinese,Napoli,A,-1.5890869508107572,0,1,0,1.5,2.0,4,4
4,2021-09-18,Genoa,Fiorentina,A,-0.764478658565375,0,0,0,-1.0,1.0,-4,0
4,2021-09-18,Internazionale,Bologna,H,1.3504584559425512,1,0,2,1.5,1.5,6,2
4,2021-09-19,Venezia,Spezia,A,0.226907885879667,0,0,0,-1.0,-2.0,-4,-6
4,2021-09-17,Sassuolo,Torino,A,-0.00038902937662400286,0,0,0,-0.5,-1.0,0,2
4,2021-09-19,Juventus,Milan,D,0.19382818279218045,1,1,1,-2.0,2.0,-2,6
