Matchweek,Match_Date,Home_Team,Away_Team,Win,log_ratio_Value,Cup_Home,Cup_Away,Winvalue,Home_Performance,Away_Performance,Home_Diff_Goals,Away_Diff_Goals,Aprob_TMValue_Costant,Dprob_TMValue_Costant,Hprob_TMValue_Costant,TMValue_Costant_pred,ln_TM_Home,ln_TM_Away,log_ratio_ln_TM
1,2021-08-21,Internazionale,Genoa,H,1.6275719380662899,0,0,2,0.0,0.0,0,0,0.05036633571519765,0.1224936018607903,0.8271400624240121,H,327644444.4444445,32761111.111111112,2.302686834469046
1,2021-08-23,Cagliari,Spezia,D,0.6151856390902335,0,0,1,0.0,0.0,0,0,0.16966957559536494,0.2763639743478965,0.5539664500567385,H,87061111.1111111,33775555.55555555,0.94687296620091
1,2021-08-21,Empoli,Lazio,A,-1.1276328174088697,0,0,0,0.0,0.0,0,0,0.6756719200670367,0.21573689694684373,0.10859118298611958,A,45400000.0,164918888.8888889,-1.2899416654954108
1,2021-08-22,Napoli,Venezia,H,1.7508370547228733,0,0,2,0.0,0.0,0,0,0.04306697328960603,0.1075569258111614,0.8493761008992325,H,258300000.0,14360000.0,2.8896751364817166
1,2021-08-22,Udinese,Juventus,D,-1.702147310538368,0,0,1,0.0,0.0,0,0,0.8174799641688135,0.12889522972659118,0.0536248061045953,A,55518888.88888889,220016666.66666666,-1.376979997868566
1,2021-08-21,Hellas Verona,Sassuolo,A,-0.5677837829958381,0,0,0,0.0,0.0,0,0,0.4970190693159611,0.29863285798907474,0.2043480726949642,A,56617777.777777776,100574444.44444445,-0.5745751631214875
1,2021-08-23,Sampdoria,Milan,A,-1.5078349834617366,0,0,0,0.0,0.0,0,0,0.7756489349409598,0.15596496265087212,0.06838610240816811,A,63677777.777777776,273655555.5555556,-1.458034574845388
1,2021-08-21,Torino,Atalanta,A,-0.6135864972359458,0,0,0,0.0,0.0,0,0,0.5122720835314141,0.2931226212028326,0.19460529526575332,A,73277777.77777778,219333333.33333334,-1.0963352478360575
1,2021-08-22,Roma,Fiorentina,H,0.5193519934649972,1,0,2,0.0,0.0,0,0,0.18842242979474058,0.28933409571668256,0.5222434744885769,H,239848888.8888889,150294444.44444445,0.4674127624474243
1,2021-08-22,Bologna,Salernitana,H,0.9402174381958914,0,0,2,0.0,0.0,0,0,0.11701517896536485,0.22603217348533355,0.6569526475493016,H,75977777.77777778,14674444.444444444,1.6443333921494878
2,2021-08-29,Genoa,Napoli,A,-1.5422588162395183,0,0,0,-1.0,1.0,-4,2,0.6891089814307853,0.2081578171593932,0.10273320140982156,A,36246666.666666664,274805555.5555556,-2.025716353817448
2,2021-08-28,Atalanta,Bologna,D,0.9788132116574604,0,0,1,1.0,1.0,1,1,0.11170942367114486,0.21962918562678,0.6686613907020751,H,214388888.8888889,70950000.0,1.1058162000354024
2,2021-08-28,Lazio,Spezia,H,1.3404373909279002,0,0,2,1.0,-0.5,2,0,0.10095502129871538,0.20578658276978917,0.6932583959314955,H,162400000.0,29245555.555555556,1.714334812413413
2,2021-08-29,Milan,Cagliari,H,1.281791478447737,0,0,2,1.0,-0.5,1,0,0.10827097590716306,0.2153316833917195,0.6763973407011175,H,267855555.55555555,67636666.66666666,1.3762976210942905
2,2021-08-28,Fiorentina,Torino,H,0.12213846202012206,0,0,2,-1.0,-1.0,-2,-1,0.2829002377271835,0.3256304576438887,0.39146930462892787,H,164977777.7777778,81577777.77777778,0.7042538909692023
2,2021-08-28,Juventus,Empoli,A,1.8780007268111205,0,0,0,-0.5,-1.0,0,-2,0.04120702032316816,0.10361480482409166,0.8551781748527402,H,284077777.7777778,49061111.11111111,1.7561813795030374
2,2021-08-27,Hellas Verona,Internazionale,A,-1.5534045538934989,0,0,0,-1.0,1.0,-1,4,0.6922812850176148,0.20634625159382325,0.10137246338856198,A,74772222.22222222,399150000.0,-1.6748908307483026
2,2021-08-29,Salernitana,Roma,A,-1.9469346081025252,0,1,0,-1.0,1.0,-1,2,0.7916827579571498,0.14571810609238323,0.06259913595046696,A,13810000.0,232800000.0,-2.824786748436082
2,2021-08-27,Udinese,Venezia,H,0.16175010391211608,0,0,2,-0.5,-1.0,0,-2,0.29722664950204813,0.3277489319326099,0.37502441856534197,H,52782222.222222224,33058888.888888888,0.4678839507776757
2,2021-08-29,Sassuolo,Sampdoria,D,0.6882951574554173,0,0,1,1.0,-1.0,1,-1,0.23236943218740155,0.3115869976197354,0.456043570192863,H,101705555.55555555,60911111.11111111,0.5126663219283382
3,2021-09-11,Empoli,Venezia,A,-0.014103312360636605,0,0,0,0.0,-2.0,-1,-5,0.4358024837065045,0.31689399002238244,0.24730352627111313,A,50050000.0,30588888.888888888,0.4923856709488874
