"Matchday","Team","Player_Name","Starting","Min","TMValue"
2021-08-22,"Bologna","Aaron Hickey","Pitch",55,1.3e+07
2022-02-26,"Bologna","Aaron Hickey","Pitch",90,1.3e+07
2021-11-01,"Bologna","Aaron Hickey","Pitch",90,1.3e+07
2022-02-21,"Bologna","Aaron Hickey","Pitch",90,1.3e+07
2021-11-28,"Bologna","Aaron Hickey","Pitch",90,1.3e+07
2021-10-28,"Bologna","Aaron Hickey","Pitch",80,1.3e+07
2022-02-12,"Bologna","Aaron Hickey","Pitch",77,1.3e+07
2021-12-22,"Bologna","Aaron Hickey","Pitch",90,1.3e+07
2021-09-21,"Bologna","Aaron Hickey","Pitch",79,1.3e+07
2021-08-28,"Bologna","Aaron Hickey","Pitch",80,1.3e+07
2021-09-18,"Bologna","Aaron Hickey","Pitch",55,1.3e+07
2022-01-17,"Bologna","Aaron Hickey","Pitch",71,1.3e+07
2021-10-23,"Bologna","Aaron Hickey","Pitch",62,1.3e+07
2021-09-26,"Bologna","Aaron Hickey","Pitch",45,1.3e+07
2021-10-17,"Bologna","Aaron Hickey","Pitch",90,1.3e+07
2022-03-06,"Bologna","Aaron Hickey","Pitch",90,1.3e+07
2021-12-12,"Bologna","Aaron Hickey","Pitch",90,1.3e+07
2021-12-18,"Bologna","Aaron Hickey","Pitch",84,1.3e+07
2022-01-21,"Bologna","Aaron Hickey","Pitch",85,1.3e+07
2021-09-13,"Bologna","Aaron Hickey","Pitch",90,1.3e+07
2021-10-03,"Bologna","Aaron Hickey","Pitch",86,1.3e+07
2021-12-01,"Bologna","Aaron Hickey","Pitch",90,1.3e+07
2021-11-21,"Bologna","Aaron Hickey","Pitch",78,1.3e+07
2021-12-05,"Bologna","Aaron Hickey","Bench",29,1.3e+07
2021-11-07,"Bologna","Aaron Hickey","Pitch",90,1.3e+07
2022-03-05,"Sampdoria","Abdelhamid Sabiri","Bench",23,2e+06
2022-02-19,"Sampdoria","Abdelhamid Sabiri","Pitch",68,2e+06
2022-02-28,"Sampdoria","Abdelhamid Sabiri","Bench",45,2e+06
2022-02-13,"Sampdoria","Abdelhamid Sabiri","Bench",6,2e+06
2022-01-23,"Sassuolo","Abdou Harroui","Pitch",45,3e+06
2021-09-21,"Sassuolo","Abdou Harroui","Bench",31,3e+06
2021-12-19,"Sassuolo","Abdou Harroui","Bench",13,3e+06
2022-02-13,"Sassuolo","Abdou Harroui","Bench",24,3e+06
2021-11-07,"Sassuolo","Abdou Harroui","Bench",4,3e+06
2022-01-06,"Sassuolo","Abdou Harroui","Pitch",90,3e+06
2022-02-20,"Sassuolo","Abdou Harroui","Bench",13,3e+06
2022-01-09,"Sassuolo","Abdou Harroui","Pitch",60,3e+06
2021-10-17,"Sassuolo","Abdou Harroui","Bench",30,3e+06
2022-03-06,"Sassuolo","Abdou Harroui","Bench",9,3e+06
2022-02-06,"Sassuolo","Abdou Harroui","Bench",31,3e+06
2021-09-17,"Sassuolo","Abdou Harroui","Bench",16,3e+06
2021-10-27,"Sassuolo","Abdou Harroui","Bench",4,3e+06
2021-12-05,"Sassuolo","Abdou Harroui","Bench",5,3e+06
2021-11-28,"Sassuolo","Abdou Harroui","Bench",11,3e+06
2021-12-01,"Sassuolo","Abdou Harroui","Bench",14,3e+06
2022-01-16,"Sassuolo","Abdou Harroui","Bench",10,3e+06
2021-09-26,"Sassuolo","Abdou Harroui","Bench",10,3e+06
2021-10-31,"Sassuolo","Abdou Harroui","Bench",6,3e+06
2021-10-27,"Lazio","Adam Marušić","Pitch",90,9e+06
2021-09-23,"Lazio","Adam Marušić","Pitch",61,9e+06
2021-10-16,"Lazio","Adam Marušić","Pitch",90,9e+06
2022-03-05,"Lazio","Adam Marušić","Pitch",88,9e+06
2021-09-12,"Lazio","Adam Marušić","Pitch",63,9e+06
2022-02-20,"Lazio","Adam Marušić","Pitch",90,9e+06
2021-12-22,"Lazio","Adam Marušić","Pitch",90,9e+06
2022-02-05,"Lazio","Adam Marušić","Pitch",90,9e+06
2022-02-12,"Lazio","Adam Marušić","Pitch",90,9e+06
2022-01-15,"Lazio","Adam Marušić","Pitch",58,9e+06
2022-01-06,"Lazio","Adam Marušić","Pitch",90,9e+06
2021-12-12,"Lazio","Adam Marušić","Pitch",90,9e+06
2022-01-22,"Lazio","Adam Marušić","Pitch",90,9e+06
2021-10-24,"Lazio","Adam Marušić","Pitch",90,9e+06
2022-02-27,"Lazio","Adam Marušić","Pitch",90,9e+06
2021-10-03,"Lazio","Adam Marušić","Pitch",90,9e+06
2021-10-30,"Lazio","Adam Marušić","Pitch",90,9e+06
2021-09-26,"Lazio","Adam Marušić","Pitch",90,9e+06
2021-12-05,"Lazio","Adam Marušić","Pitch",90,9e+06
2021-12-17,"Lazio","Adam Marušić","Pitch",90,9e+06
2021-11-07,"Lazio","Adam Marušić","Pitch",90,9e+06
2021-08-28,"Lazio","Adam Marušić","Bench",66,9e+06
2022-01-09,"Lazio","Adam Marušić","Pitch",90,9e+06
2021-09-19,"Lazio","Adam Marušić","Bench",17,9e+06
2022-01-23,"Cagliari","Adam Obert","Pitch",90,350000
2022-02-13,"Cagliari","Adam Obert","Pitch",57,350000
2021-12-12,"Cagliari","Adam Obert","Bench",9,350000
2021-10-24,"Cagliari","Adam Obert","Bench",20,350000
2022-02-06,"Cagliari","Adam Obert","Pitch",86,350000
2021-11-07,"Napoli","Adam Ounas","Bench",5,8e+06
2021-12-22,"Napoli","Adam Ounas","Bench",22,8e+06
2021-09-11,"Napoli","Adam Ounas","Bench",45,8e+06
2022-02-27,"Napoli","Adam Ounas","Bench",10,8e+06
2021-08-29,"Napoli","Adam Ounas","Bench",21,8e+06
2021-12-12,"Napoli","Adam Ounas","Pitch",90,8e+06
2021-12-19,"Napoli","Adam Ounas","Bench",14,8e+06
2022-03-06,"Napoli","Adam Ounas","Bench",24,8e+06
2021-09-20,"Napoli","Adam Ounas","Bench",10,8e+06
2022-02-12,"Napoli","Adam Ounas","Bench",7,8e+06
2022-02-21,"Napoli","Adam Ounas","Bench",24,8e+06
2021-09-26,"Napoli","Adam Ounas","Bench",14,8e+06
2021-12-04,"Napoli","Adam Ounas","Bench",24,8e+06
2021-09-23,"Napoli","Adam Ounas","Bench",10,8e+06
2021-10-17,"Bologna","Adama Soumaoro","Pitch",90,4e+06
2021-12-22,"Bologna","Adama Soumaoro","Pitch",90,4e+06
2022-01-17,"Bologna","Adama Soumaoro","Pitch",90,4e+06
